% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=216664, Sun Dec 31 18:59:13 2023, <python>{}</python>
1 20 0.4703936424151061 1.0000483345014077 1002041945.9668255 1.0020419459668255e+09 1044336581.7458615 1093161950.3353975   
2 40 0.474369552323389 1.0928720392494125 980197665.1477073 9.8019766514770734e+08 1004635172.1006367 1053196692.24324   
3 60 0.5085447080740648 1.1296005147301451 945088692.931611 9.4508869293161094e+08 976202156.6244006 1029978234.8935244   
4 80 0.5456581587890788 1.171584248688994 919554088.2936242 9.1955408829362416e+08 957579156.7595707 997864680.0119328   
5 100 0.6037199002276054 1.1957163207345374 885938039.1201535 8.8593803912015355e+08 929605983.3788352 955972150.8345745   
6 120 0.686956254135567 1.2209350929914735 835201241.2905817 8.3520124129058170e+08 907389012.0202943 932381424.8474303   
7 140 0.7966332706468658 1.2401017937357053 821141386.7547636 8.2114138675476360e+08 861142681.4441787 929661948.4487193   
8 160 0.925721390646017 1.2559282687864473 773580091.7061347 7.7358009170613468e+08 828523613.2905285 888306054.6643611   
9 180 1.0829308769758788 1.2759065615737197 723061380.2604735 7.2306138026047349e+08 783257801.009122 844112482.0566938   
10 200 1.2613313809357392 1.2917179512978223 695723277.9560107 6.9572327795601070e+08 756191720.6140484 854784844.99888   
11 220 1.4668798502843807 1.3043111402084302 663048748.406949 6.6304874840694904e+08 721834933.6083204 770763234.8593447   
12 240 1.6766348369969732 1.305349994335349 601960418.7412944 6.0196041874129438e+08 702116133.3103012 800873797.5324613   
